"parameter";"variable";"version";"parmLong";"years";"URL";"filepath";"fileExisted"
"bio";"01";"2.1";"bio";"_1981-2010";"https://os.zhdk.cloud.switch.ch/chelsav2/GLOBAL/climatologies/1981-2010/bio/CHELSA_bio1_1981-2010_V.2.1.tif";"D:/Projects_ongoing/StagmoDesc/data/envs/bio/ChelsaV2.1Climatologies/CHELSA_bio_01_1981-2010_V2.1.tif";TRUE
"bio";"02";"2.1";"bio";"_1981-2010";"https://os.zhdk.cloud.switch.ch/chelsav2/GLOBAL/climatologies/1981-2010/bio/CHELSA_bio2_1981-2010_V.2.1.tif";"D:/Projects_ongoing/StagmoDesc/data/envs/bio/ChelsaV2.1Climatologies/CHELSA_bio_02_1981-2010_V2.1.tif";TRUE
"bio";"03";"2.1";"bio";"_1981-2010";"https://os.zhdk.cloud.switch.ch/chelsav2/GLOBAL/climatologies/1981-2010/bio/CHELSA_bio3_1981-2010_V.2.1.tif";"D:/Projects_ongoing/StagmoDesc/data/envs/bio/ChelsaV2.1Climatologies/CHELSA_bio_03_1981-2010_V2.1.tif";TRUE
"bio";"04";"2.1";"bio";"_1981-2010";"https://os.zhdk.cloud.switch.ch/chelsav2/GLOBAL/climatologies/1981-2010/bio/CHELSA_bio4_1981-2010_V.2.1.tif";"D:/Projects_ongoing/StagmoDesc/data/envs/bio/ChelsaV2.1Climatologies/CHELSA_bio_04_1981-2010_V2.1.tif";TRUE
"bio";"05";"2.1";"bio";"_1981-2010";"https://os.zhdk.cloud.switch.ch/chelsav2/GLOBAL/climatologies/1981-2010/bio/CHELSA_bio5_1981-2010_V.2.1.tif";"D:/Projects_ongoing/StagmoDesc/data/envs/bio/ChelsaV2.1Climatologies/CHELSA_bio_05_1981-2010_V2.1.tif";TRUE
"bio";"06";"2.1";"bio";"_1981-2010";"https://os.zhdk.cloud.switch.ch/chelsav2/GLOBAL/climatologies/1981-2010/bio/CHELSA_bio6_1981-2010_V.2.1.tif";"D:/Projects_ongoing/StagmoDesc/data/envs/bio/ChelsaV2.1Climatologies/CHELSA_bio_06_1981-2010_V2.1.tif";TRUE
"bio";"07";"2.1";"bio";"_1981-2010";"https://os.zhdk.cloud.switch.ch/chelsav2/GLOBAL/climatologies/1981-2010/bio/CHELSA_bio7_1981-2010_V.2.1.tif";"D:/Projects_ongoing/StagmoDesc/data/envs/bio/ChelsaV2.1Climatologies/CHELSA_bio_07_1981-2010_V2.1.tif";TRUE
"bio";"08";"2.1";"bio";"_1981-2010";"https://os.zhdk.cloud.switch.ch/chelsav2/GLOBAL/climatologies/1981-2010/bio/CHELSA_bio8_1981-2010_V.2.1.tif";"D:/Projects_ongoing/StagmoDesc/data/envs/bio/ChelsaV2.1Climatologies/CHELSA_bio_08_1981-2010_V2.1.tif";TRUE
"bio";"09";"2.1";"bio";"_1981-2010";"https://os.zhdk.cloud.switch.ch/chelsav2/GLOBAL/climatologies/1981-2010/bio/CHELSA_bio9_1981-2010_V.2.1.tif";"D:/Projects_ongoing/StagmoDesc/data/envs/bio/ChelsaV2.1Climatologies/CHELSA_bio_09_1981-2010_V2.1.tif";TRUE
"bio";"10";"2.1";"bio";"_1981-2010";"https://os.zhdk.cloud.switch.ch/chelsav2/GLOBAL/climatologies/1981-2010/bio/CHELSA_bio10_1981-2010_V.2.1.tif";"D:/Projects_ongoing/StagmoDesc/data/envs/bio/ChelsaV2.1Climatologies/CHELSA_bio_10_1981-2010_V2.1.tif";TRUE
"bio";"11";"2.1";"bio";"_1981-2010";"https://os.zhdk.cloud.switch.ch/chelsav2/GLOBAL/climatologies/1981-2010/bio/CHELSA_bio11_1981-2010_V.2.1.tif";"D:/Projects_ongoing/StagmoDesc/data/envs/bio/ChelsaV2.1Climatologies/CHELSA_bio_11_1981-2010_V2.1.tif";TRUE
"bio";"12";"2.1";"bio";"_1981-2010";"https://os.zhdk.cloud.switch.ch/chelsav2/GLOBAL/climatologies/1981-2010/bio/CHELSA_bio12_1981-2010_V.2.1.tif";"D:/Projects_ongoing/StagmoDesc/data/envs/bio/ChelsaV2.1Climatologies/CHELSA_bio_12_1981-2010_V2.1.tif";TRUE
"bio";"13";"2.1";"bio";"_1981-2010";"https://os.zhdk.cloud.switch.ch/chelsav2/GLOBAL/climatologies/1981-2010/bio/CHELSA_bio13_1981-2010_V.2.1.tif";"D:/Projects_ongoing/StagmoDesc/data/envs/bio/ChelsaV2.1Climatologies/CHELSA_bio_13_1981-2010_V2.1.tif";TRUE
"bio";"14";"2.1";"bio";"_1981-2010";"https://os.zhdk.cloud.switch.ch/chelsav2/GLOBAL/climatologies/1981-2010/bio/CHELSA_bio14_1981-2010_V.2.1.tif";"D:/Projects_ongoing/StagmoDesc/data/envs/bio/ChelsaV2.1Climatologies/CHELSA_bio_14_1981-2010_V2.1.tif";TRUE
"bio";"15";"2.1";"bio";"_1981-2010";"https://os.zhdk.cloud.switch.ch/chelsav2/GLOBAL/climatologies/1981-2010/bio/CHELSA_bio15_1981-2010_V.2.1.tif";"D:/Projects_ongoing/StagmoDesc/data/envs/bio/ChelsaV2.1Climatologies/CHELSA_bio_15_1981-2010_V2.1.tif";TRUE
"bio";"16";"2.1";"bio";"_1981-2010";"https://os.zhdk.cloud.switch.ch/chelsav2/GLOBAL/climatologies/1981-2010/bio/CHELSA_bio16_1981-2010_V.2.1.tif";"D:/Projects_ongoing/StagmoDesc/data/envs/bio/ChelsaV2.1Climatologies/CHELSA_bio_16_1981-2010_V2.1.tif";TRUE
"bio";"17";"2.1";"bio";"_1981-2010";"https://os.zhdk.cloud.switch.ch/chelsav2/GLOBAL/climatologies/1981-2010/bio/CHELSA_bio17_1981-2010_V.2.1.tif";"D:/Projects_ongoing/StagmoDesc/data/envs/bio/ChelsaV2.1Climatologies/CHELSA_bio_17_1981-2010_V2.1.tif";TRUE
"bio";"18";"2.1";"bio";"_1981-2010";"https://os.zhdk.cloud.switch.ch/chelsav2/GLOBAL/climatologies/1981-2010/bio/CHELSA_bio18_1981-2010_V.2.1.tif";"D:/Projects_ongoing/StagmoDesc/data/envs/bio/ChelsaV2.1Climatologies/CHELSA_bio_18_1981-2010_V2.1.tif";TRUE
"bio";"19";"2.1";"bio";"_1981-2010";"https://os.zhdk.cloud.switch.ch/chelsav2/GLOBAL/climatologies/1981-2010/bio/CHELSA_bio19_1981-2010_V.2.1.tif";"D:/Projects_ongoing/StagmoDesc/data/envs/bio/ChelsaV2.1Climatologies/CHELSA_bio_19_1981-2010_V2.1.tif";TRUE
